Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0603488	rtr-14	0	5	FullDelay	0.0103488	10348.8	1	5
0.0603488	rtr-26	0	5	LastDelay	0.0103488	10348.8	1	5
0.0603488	rtr-26	0	5	FullDelay	0.0103488	10348.8	1	5
0.061712	rtr-31	0	5	LastDelay	0.011712	11712	1	4
0.061712	rtr-31	0	5	FullDelay	0.011712	11712	1	4
0.062204	rtr-23	0	5	LastDelay	0.012204	12204	1	6
0.062204	rtr-23	0	5	FullDelay	0.012204	12204	1	6
0.062204	rtr-20	0	5	LastDelay	0.012204	12204	1	6
0.062204	rtr-20	0	5	FullDelay	0.012204	12204	1	6
0.062204	rtr-17	0	5	LastDelay	0.012204	12204	1	6
0.062204	rtr-17	0	5	FullDelay	0.012204	12204	1	6
0.062204	rtr-11	0	5	LastDelay	0.012204	12204	1	6
0.062204	rtr-11	0	5	FullDelay	0.012204	12204	1	6
0.062204	rtr-25	0	5	LastDelay	0.012204	12204	1	6
0.062204	rtr-25	0	5	FullDelay	0.012204	12204	1	6
0.062928	rtr-34	0	6	LastDelay	0.002928	2928	1	1
0.062928	rtr-34	0	6	FullDelay	0.002928	2928	1	1
0.0640592	rtr-18	0	5	LastDelay	0.0140592	14059.2	1	7
0.0640592	rtr-18	0	5	FullDelay	0.0140592	14059.2	1	7
0.0640592	rtr-13	0	5	LastDelay	0.0140592	14059.2	1	7
0.0640592	rtr-13	0	5	FullDelay	0.0140592	14059.2	1	7
0.0640592	rtr-19	0	5	LastDelay	0.0140592	14059.2	1	7
0.0640592	rtr-19	0	5	FullDelay	0.0140592	14059.2	1	7
0.0647832	rtr-3	0	6	LastDelay	0.0047832	4783.2	1	2
0.0647832	rtr-3	0	6	FullDelay	0.0047832	4783.2	1	2
0.0647832	rtr-33	0	6	LastDelay	0.0047832	4783.2	1	2
0.0647832	rtr-33	0	6	FullDelay	0.0047832	4783.2	1	2
